EducationalInstitution,Settlement,City,State,areaCode,postalCode
AIB College of Business,2500 Fleur Drive,Des Moines,Iowa,50321,515
Abilene Christian University,1600 Campus Court,Abilene,Texas,79699,325
Abraham Baldwin Agricultural College,2802 Moore Hwy,Tifton,Georgia,31793,229
Academy of Art University,79 New Montgomery,San Francisco,California,94105,415
Adams State University,208 Edgemont Blvd,Alamosa,Colorado,81102,719
Adelphi University,South Ave,Garden City,New York,11530,516
Adrian College,110 S Madison St,Adrian,Michigan,49221,517
Adventist University of Health Sciences,671 Winyah Drive,Orlando,Florida,32803,407
Agnes Scott College,141 E. College Ave,Decatur,Georgia,30030,404
Alabama State University,915 S Jackson Street,Montgomery,Alabama,36104,334
Alaska Pacific University,4101 University Dr,Anchorage,Alaska,99508,907
Albany State University,504 College Drive,Albany,Georgia,31705,229
Albertus Magnus College,700 Prospect St,New Haven,Connecticut,6511,203
Albion College,611 E Porter St,Albion,Michigan,49224,517
Albright College,1621 N. 13th St.,Reading,Pennsylvania,19612,610
Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,Mississippi,39096,601
Alderson Broaddus University,101 College Hill Drive,Philippi,West Virginia,26416,304
Alfred University,One Saxon Dr,Alfred,New York,14802,607
Alice Lloyd College,100 Purpose Rd,Pippa Passes,Kentucky,41844,606
Allegheny College,520 N Main St,Meadville,Pennsylvania,16335,814
Allen College,1825 Logan Avenue,Waterloo,Iowa,50703,319
Allen University,1530 Harden Street,Columbia,South Carolina,29204,803
Alliant International University,10455 Pomerado Road,San Diego,California,92131,858
Alma College,614 W. Superior Street,Alma,Michigan,48801,989
Alverno College,3400 S 43rd  St,Milwaukee,Wisconsin,53234,414
Amberton University,1700 Eastgate Dr,Garland,Texas,75041,972
American Academy of Art,332 S Michigan Ave,Chicago,Illinois,60604,312
American Indian College of the Assemblies of God,10020 N 15th Ave,Phoenix,Arizona,85021,602
American InterContinental University,"231 North Martingale Road, 6th floor",Schaumburg,Illinois,60173,
American International College,1000 State Street,Springfield,Massachusetts,1109,413
American Jewish University,15600 Mulholland Dr,Los Angeles,California,90077,310
American Public University System,111 West Congress Street,Charles Town,West Virginia,25414,
American University of Puerto Rico,"Carr. #2, Km.14.7, Bo. Hato Tejas, P.O. Box 2037",Bayamon,Puerto Rico,960,787
American University,4400 Massachusetts Avenue N.W.,Washington,District of Columbia,20016,202
Amherst College,Boltwood Avenue,Amherst,Massachusetts,1002,413
Amridge University,1200 Taylor Rd,Montgomery,Alabama,36117,334
Anderson University,1100 E 5th St,Anderson,Indiana,46012,765
Anderson University,316 Boulevard,Anderson,South Carolina,29621,864
Andrews University,US 31 North,Berrien Springs,Michigan,49104,800
Angelo State University,2601 W Avenue N,San Angelo,Texas,76909,325
Anna Maria College,10 Sunset Lane,Paxton,Massachusetts,1612,508
Antioch University,900 Dayton Street,Yellow Springs,Ohio,45387,937
Appalachian Bible College,161 College Drive,Mt. Hope,West Virginia,25880,304
Appalachian State University,,Boone,North Carolina,28608,828
Aquinas College,1607 Robinson Rd SE,Grand Rapids,Michigan,49506,616
Aquinas College,4210 Harding Roadd,Nashville,Tennessee,32705,615
Arcadia University,450 S Easton Rd,Glenside,Pennsylvania,19038,215
Arizona Christian University,2625 E. Cactus Road,Phoenix,Arizona,85032,602
Arizona State University,P.O. Box 2203,Tempe,Arizona,85287,480
Arkansas Baptist College,1621 Dr. Martin Luther King Drive,Little Rock,Arkansas,72202,501
Arkansas State University,P.O. Box 600,State University,Arkansas,72467,870
Arkansas Tech University,"Administration Bldg. 200, 1509 North Boulder Avenue",Russellville,Arkansas,72801,479
Armstrong Atlantic State University,11935 Abercorn St,Savannah,Georgia,31419,912
Art Academy of Cincinnati,1212 Jackson Street,Cincinnati,Ohio,45202,513
Art Center College of Design,1700 Lida St,Pasadena,California,91103,626
Asbury University,1 Macklem Drive,Wilmore,Kentucky,40390,859
Ashford University,400 North Bluff Blvd.,Clinton,Iowa,52732,563
Ashland University,401 College Ave,Ashland,Ohio,44805,419
Assumption College,500 Salisbury St,Worcester,Massachusetts,1609,508
Athens State University,300 N Beaty St,Athens,Alabama,35611,256
Augsburg College,2211 Riverside Ave,Minneapolis,Minnesota,55454,612
Augustana College,2001 S Summit Ave,Sioux Falls,South Dakota,57197,605
Augustana College,639 38th St,Rock Island,Illinois,61201,309
Aurora University,347 S Gladstone Ave,Aurora,Illinois,60506,630
Austin College,900 N Grand Ave,Sherman,Texas,75090,903
Austin Peay State University,601 College St,Clarksville,Tennessee,37044,931
Ave Maria University,5050 Ave Maria Boulevard,Ave Maria,Florida,34142,
Averett University,420 W Main St,Danville,Virginia,24541,434
Avila University,11901 Wornall Rd,Kansas City,Missouri,64145,816
Azusa Pacific University,901 E Alosta,Azusa,California,91702,626
Babson College,Babson Park,Wellesley,Massachusetts,2457,781
Bacone College,2299 Old Bacone Rd.,Muskogee,Oklahoma,74403,918
Baker University,618 Eighth Street,Baldwin City,Kansas,66006,785
Ball State University,2000 University Ave,Muncie,Indiana,47306,765
Baptist Bible College,628 E Kearney,Springfield,Missouri,65803,417
Baptist Memorial College of Health Sciences,1003 Monroe Ave,Memphis,Tennessee,38104,901
Baptist Missionary Association Theological Seminary,1530 E Pine St,Jacksonville,Texas,75766,903
Bard College,30 Campus Road,Annandale-On-Hudson,New York,12504,845
Barnard College,3009 Broadway,New York,New York,10027,212
Barry University,11300 NE 2nd Ave,Miami Shores,Florida,33161,800
Barton College,200 Atlantic Christian College Drive,Wilson,North Carolina,27893,252
Bastyr University,14500 Juanita Drive NE,Kenmore,Washington,98028,425
Bates College,"2 Andrews Road, 2 Lane Hall",Lewiston,Maine,4240,207
Bauder College,"384 Northyards Blvd., Suite 190",Atlanta,Georgia,30313,404
Bay Path College,588 Longmeadow Street,Longmeadow,Massachusetts,1106,413
Bayamon Central University,Avenida Zaya Verde La Milagrosa Barrio Hato Tejas,Bayamon,Puerto Rico,959,787
Baylor University,500 Speight Ave.,Waco,Texas,76798,254
Beacon College,105 E Main St,Leesburg,Florida,34748,352
Becker College,61 Sever St,Worcester,Massachusetts,1609,508
Belhaven University,1500 Peachtree St,Jackson,Mississippi,39202,601
Bellarmine University,2001 Newburg Rd,Louisville,Kentucky,40205,502
Bellevue College,3000 Landerholm Circle SE,Bellevue,Washington,98007,425
Bellevue University,1000 Galvin Rd S,Bellevue,Nebraska,68005,402
Bellin College,725 S Webster Ave,Green Bay,Wisconsin,54301,920
Belmont Abbey College,100 Belmont-Mt Holly Road,Belmont,North Carolina,28012,704
Belmont University,1900 Belmont Blvd,Nashville,Tennessee,37212,615
Beloit College,700 College St,Beloit,Wisconsin,53511,608
Bemidji State University,1500 Birchmont Drive NE,Bemidji,Minnesota,56601,800
Benedict College,1600 Harden Street,Columbia,South Carolina,29204,803
Benedictine College,1020 N 2nd St,Atchison,Kansas,66002,913
Benedictine University,5700 College Road,Lisle,Illinois,60532,630
Benjamin Franklin Institute of Technology,41 Berkeley St,Boston,Massachusetts,2116,617
Bennington College,One College Drive,Bennington,Vermont,5201,802
Bentley University,175 Forest St,Waltham,Massachusetts,2452,781
Berea College,101 Chestnut Street,Berea,Kentucky,40404,859
Berkeley College,3 East 43 Street,New York,New York,10017,212
Berkeley College,44 Rifle Camp Rd,West Paterson,New Jersey,7424,973
Berklee College of Music,1140 Boylston St,Boston,Massachusetts,2215,617
Berry College,2277 Martha Berry Hwy NW,Mount Berry,Georgia,30149,706
Bethany College,335 E. Swensson Street,Lindsborg,Kansas,67456,785
Bethany College,Old Main,Bethany,West Virginia,26032,304
Bethany Lutheran College,700 Luther Dr,Mankato,Minnesota,56001,507
Bethel College,1001 W McKinley Ave,Mishawaka,Indiana,46545,574
Bethel College,1705 Todds Lane,Hampton,Virginia,23666,757
Bethel College,300 E 27th St,North Newton,Kansas,67117,316
Bethel University,325 Cherry Avenue,McKenzie,Tennessee,38201,731
Bethel University,3900 Bethel Drive,St. Paul,Minnesota,55112,651
Biola University,13800 Biola Ave,La Mirada,California,90639,562
Bismarck State College,P.O. Box 5587,Bismarck,North Dakota,58506,701
Black Hills State University,1200 University St,Spearfish,South Dakota,57799,605
Blackburn College,700 College Ave,Carlinville,Illinois,62626,217
Blessing-Rieman College of Nursing,"P.O. Box 7005, Broadway at 11th Street",Quincy,Illinois,62305,217
Bloomfield College,467 Franklin St,Bloomfield,New Jersey,7003,973
Bloomsburg University of Pennsylvania,400 E Second St,Bloomsburg,Pennsylvania,17815,570
Blue Mountain College,201 W Main St,Blue Mountain,Mississippi,38610,662
Bluefield College,3000 College Dr,Bluefield,Virginia,24605,276
Bluefield State College,219 Rock St,Bluefield,West Virginia,24701,304
Bluffton University,1 University Drive,Bluffton,Ohio,45817,419
Boise State University,1910 University Dr,Boise,Idaho,83725,208
Boricua College,3755 Broadway,New York,New York,10032,212
Boston College,140 Commonwealth Ave,Chestnut Hill,Massachusetts,2467,617
Boston University,One Sherborn St.,Boston,Massachusetts,2215,617
Bowdoin College,5700 College Station - President's Office,Brunswick,Maine,4011,207
Bowie State University,14000 Jericho Park Rd,Bowie,Maryland,20715,301
Bowling Green State University,1001 East Wooster Street,Bowling Green,Ohio,43403,419
Bradley University,1501 W Bradley Ave,Peoria,Illinois,61625,309
Brandeis University,415 South St,Waltham,Massachusetts,2454,781
Brandman University,16355 Laguna Canyon Road,Irvine,California,92618,949
Brazosport College,500 College Dr,Lake Jackson,Texas,77566,979
Brenau University,500 Washington Street SE,Gainesville,Georgia,30501,770
Brescia University,717 Frederica St,Owensboro,Kentucky,42301,270
Brevard College,400 North Broad Street,Brevard,North Carolina,28712,828
Brewton-Parker College,201 David-Eliza Fountain Circle,Mount Vernon,Georgia,30445,912
Briar Cliff University,3303 Rebecca St,Sioux City,Iowa,51104,712
Briarcliffe College,1055 Stewart Ave,Bethpage,New York,11714,516
Bridgewater College,402 E College St,Bridgewater,Virginia,22812,540
Bridgewater State University,"131 Summer Street, Boyden Hall",Bridgewater,Massachusetts,2325,508
Brown University,Prospect St,Providence,Rhode Island,2912,401
Bryan College,2317 Gold Meadow Way,Gold River,California,95670,916
Bryan College,721 Bryan Drive,Dayton,Tennessee,37321,423
Bryant University,1150 Douglas Pike,Smithfield,Rhode Island,2917,401
Bryn Athyn College of the New Church,801 Tomlinson Rd,Bryn Athyn,Pennsylvania,19009,267
Bryn Mawr College,101 N Merion Avenue,Bryn Mawr,Pennsylvania,19010,610
Bucknell University,Dent Drive,Lewisburg,Pennsylvania,17837,570
Buena Vista University,610 W 4th St,Storm Lake,Iowa,50588,712
Burlington College,95 North Ave,Burlington,Vermont,5401,802
Butler University,4600 Sunset Ave,Indianapolis,Indiana,46208,317
Cabarrus College of Health Sciences,401 Medical Park Drive,Concord,North Carolina,28025,704
Cabrini College,610 King of Prussia Rd,Radnor,Pennsylvania,19087,610
Cairn University,200 Manor Ave,Langhorne,Pennsylvania,19047,215
Caldwell College,120 Bloomfield Avenue,Caldwell,New Jersey,7006,973
California Baptist University,8432 Magnolia Ave,Riverside,California,92504,951
California College of the Arts,5212 Broadway,Oakland,California,94618,510
California Institute of Integral Studies,1453 Mission St 4th Fl,San Francisco,California,94103,415
California Institute of Technology,1200 E California Blvd,Pasadena,California,91125,626
California Institute of the Arts,24700 W McBean Pky,Valencia,California,91355,661
California Lutheran University,60 W Olsen Rd,Thousand Oaks,California,91360,805
California Maritime Academy,200 Maritime Academy Dr,Vallejo,California,94590,707
California University of Pennsylvania,250 University Ave,California,Pennsylvania,15419,724
Calumet College of St. Joseph,2400 New York Ave,Whiting,Indiana,46394,219
Calvary Bible College and Theological Seminary,15800 Calvary Road,Kansas City,Missouri,64147,816
Calvin College,3201 Burton Street SE,Grand Rapids,Michigan,49546,616
Cambridge College,1000 Massachusetts Ave,Cambridge,Massachusetts,2138,617
Cameron University,2800 Gore Blvd,Lawton,Oklahoma,73505,580
Campbell University,PO Box 567,Buies Creek,North Carolina,27506,910
Campbellsville University,1 University Dr,Campbellsville,Kentucky,42718,502
Canisius College,2001 Main St,Buffalo,New York,14208,716
Capella University,"225 South 6th Street, 9th Floor",Minneapolis,Minnesota,55402,888
Capital University,1 College and Main,Columbus,Ohio,43209,614
Capitol College,11301 Springfield Rd,Laurel,Maryland,20708,301
Cardinal Stritch University,6801 N Yates Rd,Milwaukee,Wisconsin,53217,414
Carleton College,One North College Street,Northfield,Minnesota,55057,507
Carlos Albizu University,San Francisco St Old San Juan,San Juan,Puerto Rico,902,787
Carlow University,3333 Fifth Ave,Pittsburgh,Pennsylvania,15213,412
Carnegie Mellon University,5000 Forbes Ave,Pittsburgh,Pennsylvania,15213,412
Carroll College,1601 N Benton Ave,Helena,Montana,59625,406
Carroll University,100 N East Ave,Waukesha,Wisconsin,53186,262
Carson-Newman University,1646 Russell Avenue,Jefferson City,Tennessee,37760,865
Carthage College,2001 Alford Park Dr,Kenosha,Wisconsin,53140,262
Case Western Reserve University,10900 Euclid Ave,Cleveland,Ohio,44106,216
Castleton State College,62 Alumni Dr,Castleton,Vermont,5735,802
Catawba College,2300 W Innes St,Salisbury,North Carolina,28144,404
Cazenovia College,22 Sullivan St,Cazenovia,New York,13035,315
Cedar Crest College,100 College Drive,Allentown,Pennsylvania,18104,610
Cedarville University,251 N. Main Street,Cedarville,Ohio,45314,937
Centenary College of Louisiana,2911 Centenary Boulevard,Shreveport,Louisiana,71134,318
Centenary College,400 Jefferson St,Hackettstown,New Jersey,7840,908
Central Baptist College,1501 College Ave,Conway,Arkansas,72034,501
Central Bible College,3000 N Grant Ave,Springfield,Missouri,65803,417
Central College,812 University,Pella,Iowa,50219,641
Central Connecticut State University,1615 Stanley St,New Britain,Connecticut,6050,860
Central Methodist University,411 Central Methodist Square,Fayette,Missouri,65248,660
Central Michigan University,106 Warriner Hall,Mount Pleasant,Michigan,48859,989
Central Penn College,College Hill & Valley Rds,Summerdale,Pennsylvania,17093,800
Central State University,1400 Brush Row Rd,Wilberforce,Ohio,45384,937
Central Washington University,400 East University Way,Ellensburg,Washington,98926,509
Centre College,600 W Walnut St,Danville,Kentucky,40422,859
Chadron State College,1000 Main St,Chadron,Nebraska,69337,308
Chamberlain College of Nursing,3005 Highland Parkway,Downers Grove,Illinois,60515,
Chaminade University of Honolulu,3140 Waialae Ave,Honolulu,Hawaii,96816,808
Champlain College,163 S. Willard St,Burlington,Vermont,5401,802
Chancellor University,"6000 Lombardo Center, Suite 200",Seven Hills,Ohio,44131,888
Chapman University,One University Dr.,Orange,California,92866,714
Charleston Southern University,9200 University Blvd,Charleston,South Carolina,29406,843
Charter Oak State College,55 Paul J Manafort Dr,New Britain,Connecticut,6053,860
Chatham University,Woodland Rd,Pittsburgh,Pennsylvania,15232,412
Chestnut Hill College,9601 Germantown Ave,Philadelphia,Pennsylvania,19118,215
Cheyney University of Pennsylvania,1837 University Circle,Cheyney,Pennsylvania,19319,610
Chicago State University,9501 South King Drive,Chicago,Illinois,60628,773
Chipola College,3094 Indian Circle,Marianna,Florida,32446,850
Chowan University,One University Place,Murfreesboro,North Carolina,27855,252
Christendom College,134 Christendom Drive,Front Royal,Virginia,22630,540
Christian Brothers University,650 E Parkway S,Memphis,Tennessee,38104,901
Christopher Newport University,1 University Place,Newport News,Virginia,23606,757
Cincinnati Christian University,2700 Glenway Ave,Cincinnati,Ohio,45204,513
Cincinnati College of Mortuary Science,645 W North Bend Rd,Cincinnati,Ohio,45224,513
City University of Seattle,11900 NE First Street,Bellevue,Washington,98005,425
Claflin University,400 Magnolia Street,Orangeburg,South Carolina,29115,803
Claremont McKenna College,500 E 9th St,Claremont,California,91711,909
Clarion University of Pennsylvania,840 Wood St,Clarion,Pennsylvania,16214,814
Clark Atlanta University,223 James P Brawley Drive,Atlanta,Georgia,30314,404
Clark University,950 Main St,Worcester,Massachusetts,1610,508
Clarke University,1550 Clarke Drive,Dubuque,Iowa,52001,563
Clarkson College,101 S 42nd St,Omaha,Nebraska,68131,402
Clarkson University,,Potsdam,New York,13699,315
Clear Creek Baptist Bible College,300 Clear Creek Rd,Pineville,Kentucky,40977,606
Clearwater Christian College,3400 Gulf to Bay Blvd,Clearwater,Florida,33759,727
Cleary University,3601 Plymouth Rd,Ann Arbor,Michigan,48105,734
Clemson University,201 Sikes Hall,Clemson,South Carolina,29634,864
Cleveland Institute of Art,11141 East Blvd,Cleveland,Ohio,44106,216
Cleveland Institute of Music,11021 East Blvd,Cleveland,Ohio,44106,216
Cleveland State University,2121 Euclid Avenue,Cleveland,Ohio,44115,216
Coastal Carolina University,108 James P. Blantono Circle,Conway,South Carolina,29528,843
Coe College,1220 First Ave NE,Cedar Rapids,Iowa,52402,319
Cogswell Polytechnical College,1175 Bordeaux  Drive,Sunnyvale,California,94089,408
Coker College,300 E College Ave,Hartsville,South Carolina,29550,843
Colby College,Mayflower Hill Drive,Waterville,Maine,4901,207
Colby-Sawyer College,541 Main St,New London,New Hampshire,3257,603
Colgate University,13 Oak Dr,Hamilton,New York,13346,315
College for Creative Studies,201 East Kirby Street,Detroit,Michigan,48202,313
College of Charleston,66 George Street,Charleston,South Carolina,29424,843
College of Idaho,2112 Cleveland Boulevard,Caldwell,Idaho,83605,208
College of Mount St. Joseph,5701 Delhi Rd,Cincinnati,Ohio,45233,513
College of Our Lady of the Elms,291 Springfield St,Chicopee,Massachusetts,1013,413
College of Southern Nevada,6375 West Charleston Boulevard,Las Vegas,Nevada,89146,702
College of William and Mary,P.O. Box 8795,Williamsburg,Virginia,23187,757
College of the Atlantic,105 Eden St,Bar Harbor,Maine,4609,207
College of the Holy Cross,One College Street,Worcester,Massachusetts,1610,508
College of the Ozarks,P.O.Box 17,Point Lookout,Missouri,65726,417
Colorado Christian University,8787 West Alameda Avenue,Lakewood,Colorado,80226,303
Colorado College,14 East Cache La Poudre Street,Colorado Springs,Colorado,80903,719
Colorado Mesa University,1100 North Avenue,Grand Junction,Colorado,81501,970
Colorado School of Mines,1500 Illinois St,Golden,Colorado,80401,303
Colorado State University,102 Administration Building,Fort Collins,Colorado,80523,970
Colorado Technical University,4435 N Chestnut Street,Colorado Springs,Colorado,80907,719
Columbia College Chicago,600 South Michigan Avenue,Chicago,Illinois,60605,312
Columbia College of Nursing,2121 E Newport Avenue,Milwaukee,Wisconsin,53211,
Columbia College,1001 Rogers Street,Columbia,Missouri,65216,573
Columbia College,11600 Columbia College Dr,Sonora,California,95370,209
Columbia College,1301 Columbia College Drive,Columbia,South Carolina,29203,803
Columbia College,8300 Merrifield Avenue 3F,Fairfax,Virginia,22031,703
Columbia International University,7435 Monticello Rd,Columbia,South Carolina,29203,803
Columbus College of Art and Design,107 N Ninth St,Columbus,Ohio,43215,614
Columbus State University,4225 University Ave,Columbus,Georgia,31907,706
Conception Seminary College,37174 State Highway W,Conception,Missouri,64433,660
Concord University,"Vermillion Street, P.O. Box 1000",Athens,West Virginia,24712,304
Concordia College,171 White Plains Rd,Bronxville,New York,10708,914
Concordia College,901 S. 8th St.,Moorhead,Minnesota,56562,218
Concordia University Chicago,7400 Augusta,River Forest,Illinois,60305,708
Concordia University Wisconsin,12800 N. Lake Shore Dr.,Mequon,Wisconsin,53097,262
Concordia University,1530 Concordia West,Irvine,California,92612,949
Concordia University,2811 NE Holman Street,Portland,Oregon,97211,503
Concordia University,4090 Geddes Rd.,Ann Arbor,Michigan,48105,734
Concordia University,800 N Columbia Ave,Seward,Nebraska,68434,402
Connecticut College,270 Mohegan Ave,New London,Connecticut,6320,860
Converse College,580 E Main St,Spartanburg,South Carolina,29302,864
Coppin State University,2500 West North Avenue,Baltimore,Maryland,21216,410
Corban University,5000 Deer Park Drive SE,Salem,Oregon,97317,503
Corcoran College of Art and Design,500 17th St NW,Washington,District of Columbia,20006,202
Cornell College,600 First St. SW,Mount Vernon,Iowa,52314,319
Cornell University,300 Day Hall,Ithaca,New York,14853,607
Cornerstone University,1001 E Beltline Ave NE,Grand Rapids,Michigan,49525,616
Cornish College of the Arts,1000 Lenora Street,Seattle,Washington,98121,206
Covenant College,14049 Scenic Highway,Lookout Mountain,Georgia,30750,706
Cox College,1423 N. Jefferson Ave.,Springfield,Missouri,65802,417
Creighton University,2500 California Plaza,Omaha,Nebraska,68178,402
Crown College,2307 West Beaver Creek Drive,Powell,Tennessee,37849,
Crown College,8700 College View Drive,Saint Bonifacius,Minnesota,55375,952
Crown College,8739 S Hosmer,Tacoma,Washington,98444,253
Culinary Institute of America,1946 Campus Drive,Hyde Park,New York,12538,845
Culver-Stockton College,1 College Hill,Canton,Missouri,63435,573
Cumberland University,One Cumberland Square,Lebanon,Tennessee,37087,615
Curry College,1071 Blue Hill Ave,Milton,Massachusetts,2186,617
Curtis Institute of Music,1726 Locust St,Philadelphia,Pennsylvania,19103,215
D'Youville College,320 Porter Ave,Buffalo,New York,14201,716
Daemen College,4380 Main St,Amherst,New York,14226,716
Dakota State University,820 N. Washington Ave.,Madison,South Dakota,57042,605
Dakota Wesleyan University,1200 W University Ave,Mitchell,South Dakota,57301,605
Dallas Baptist University,3000 Mountain Creek Parkway,Dallas,Texas,75211,214
Dallas Christian College,2700 Christian Pkwy,Dallas,Texas,75234,972
Dalton State College,650 College Drive,Dalton,Georgia,30720,706
Daniel Webster College,20 University Dr,Nashua,New Hampshire,3063,603
Dartmouth College,,Hanover,New Hampshire,3755,603
Davenport University,6191 Kraft Avenue S.E.,Grand Rapids,Michigan,49512,616
Davidson College,102 N. Main Street,Davidson,North Carolina,28035,704
Davis College,400 Riverside Drive,Johnson City,New York,13790,607
Davis College,4747 Monroe St,Toledo,Ohio,43623,419
Daytona State College,1200 W. International Speedway Blvd.,Daytona Beach,Florida,32114,386
DePaul University,1 East Jackson Blvd.,Chicago,Illinois,60604,312
DePauw University,313 S Locust St,Greencastle,Indiana,46135,765
DeSales University,2755 Station Avenue,Center Valley,Pennsylvania,18034,610
DeVry University,One Tower Lane,Oakbrook Terrace,Illinois,60181,630
Dean College,99 Main Street,Franklin,Massachusetts,2038,508
Defiance College,701 N. Clinton St.,Defiance,Ohio,43512,419
Delaware State University,1200 N. Dupont Highway,Dover,Delaware,19901,302
Delaware Valley College,700 E Butler Ave,Doylestown,Pennsylvania,18901,215
Delta State University,1003 West Sunflower Road,Cleveland,Mississippi,38733,662
Denison University,100 West College Rd,Granville,Ohio,43023,740
Dickinson College,College and Louther Streets,Carlisle,Pennsylvania,17013,717
Dickinson State University,291 Campus Drive,Dickinson,North Dakota,58601,701
Dillard University,2601 Gentilly Blvd,New Orleans,Louisiana,70122,504
Divine Word College,102 Jacoby Dr SW,Epworth,Iowa,52045,563
Dixie State College of Utah,225 S 700 E,Saint George,Utah,84770,435
Doane College,1014 Boswell Avenue,Crete,Nebraska,68333,402
Dominican University of California,50 Acacia Ave,San Rafael,California,94901,415
Dominican University,7900 W Division St,River Forest,Illinois,60305,708
Donnelly College,608 N 18th St,Kansas City,Kansas,66102,913
Dordt College,498 4th Ave NE,Sioux Center,Iowa,51250,712
Dowling College,Idle Hour Blvd,Oakdale,New York,11769,631
Drake University,2507 University Ave,Des Moines,Iowa,50311,515
Drew University,36 Madison Ave,Madison,New Jersey,7940,973
Drexel University,3141 Chestnut St,Philadelphia,Pennsylvania,19104,215
Drury University,900 N. Benton Ave.,Springfield,Missouri,65802,417
Duke University,103 Allen Bldg,Durham,North Carolina,27708,919
Dunwoody College of Technology,818 Dunwoody Blvd,Minneapolis,Minnesota,55403,612
Dunwoody College of Technology,818 Dunwoody Blvd.,Minneapolis,Minnesota,55403,
Duquesne University,Administration Bldg 600 Forbes Ave,Pittsburgh,Pennsylvania,15282,412
ECPI University,5555 Greenwich Rd Ste 300,Virginia Beach,Virginia,23462,757
Earlham College,801 National Rd West,Richmond,Indiana,47374,765
East Carolina University,East 5th Street,Greenville,North Carolina,27858,252
East Central University,1100 E. 14th Street,Ada,Oklahoma,74820,580
East Stroudsburg University of Pennsylvania,200 Prospect St,East Stroudsburg,Pennsylvania,18301,570
East Tennessee State University,807 University Pky,Johnson City,Tennessee,37614,423
East Texas Baptist University,1209 N Grove,Marshall,Texas,75670,903
East-West University,816 S Michigan Ave,Chicago,Illinois,60605,312
Eastern Connecticut State University,83 Windham St,Willimantic,Connecticut,6226,860
Eastern Illinois University,600 Lincoln Avenue,Charleston,Illinois,61920,217
Eastern Kentucky University,521 Lancaster Ave,Richmond,Kentucky,40475,859
Eastern Mennonite University,1200 Park Rd,Harrisonburg,Virginia,22802,540
Eastern Michigan University,202 Welch,Ypsilanti,Michigan,48197,313
Eastern Nazarene College,23 E Elm Ave,Quincy,Massachusetts,2170,617
Eastern New Mexico University,1500 S. Ave. K,Portales,New Mexico,88130,505
Eastern Oregon University,One University Boulevard,La Grande,Oregon,97850,541
Eastern University,1300 Eagle Rd,Saint Davids,Pennsylvania,19087,610
Eastern Washington University,526 5th Street,Cheney,Washington,99004,509
Eckerd College,4200 54th Ave S,Saint Petersburg,Florida,33711,727
Edgewood College,1000 Edgewood College Drive,Madison,Wisconsin,53711,608
Edinboro University of Pennsylvania,219 Meadville Street,Edinboro,Pennsylvania,16444,814
Edison State College,8099 College Pky SW,Fort Myers,Florida,33919,239
Edward Waters College,1658 Kings Rd,Jacksonville,Florida,32209,904
Elizabeth City State University,1704 Weeksville Rd,Elizabeth City,North Carolina,27909,252
Elizabethtown College,One Alpha Dr,Elizabethtown,Pennsylvania,17022,717
Elmhurst College,190 Prospect Ave,Elmhurst,Illinois,60126,630
Elmira College,One Park Place,Elmira,New York,14901,607
Elon University,100 Campus Drive,Elon,North Carolina,27244,336
Emerson College,120 Boylston Street,Boston,Massachusetts,2116,617
Emmanuel College,181 Spring Street,Franklin Springs,Georgia,30639,706
Emmanuel College,400 The Fenway,Boston,Massachusetts,2115,617
Emmaus Bible College,2570 Asbury Rd,Dubuque,Iowa,52001,563
Emory University,201 Dowman Drive,Atlanta,Georgia,30322,404
Emory and Henry College,One Garnand Drive,Emory,Virginia,24327,276
Emporia State University,1200 Commercial Street,Emporia,Kansas,66801,620
Endicott College,376 Hale St,Beverly,Massachusetts,1915,978
Erskine College,2 Washington St,Due West,South Carolina,29639,864
Escuela de Artes Plasticas de Puerto Rico,Barrio Ballaja Campo Del Morro,San Juan,Puerto Rico,902,787
Eureka College,300 E. College Ave.,Eureka,Illinois,61530,309
Evangel University,1111 N Glenstone,Springfield,Missouri,65802,417
Everglades University,"5002 T-Rex Avenue, Suite 100",Boca Raton,Florida,33431,561
Excelsior College,7 Columbia Cir,Albany,New York,12203,518
Fairfield University,1073 N Benson Rd,Fairfield,Connecticut,6824,203
Fairleigh Dickinson University,1000 River Road,Teaneck,New Jersey,7666,201
Fairmont State University,1201 Locust Ave,Fairmont,West Virginia,26554,304
Faith Baptist Bible College and Theological Seminary,1900 NW 4th St,Ankeny,Iowa,50023,515
Fashion Institute of Technology,Seventh Avenue At 27th Street,New York,New York,10001,212
Faulkner University,5345 Atlanta Hwy,Montgomery,Alabama,36109,334
Fayetteville State University,1200 Murchison Rd,Fayetteville,North Carolina,28301,910
Felician College,262 S Main St,Lodi,New Jersey,7644,201
Ferris State University,1201 S. State Street,Big Rapids,Michigan,49307,231
Ferrum College,215 Ferrum Mountain Road,Ferrum,Virginia,24088,540
Finlandia University,601 Quincy St,Hancock,Michigan,49930,906
Fisher College,118 Beacon St,Boston,Massachusetts,2116,617
Fisk University,1000 17th Ave N,Nashville,Tennessee,37208,615
Fitchburg State University,160 Pearl St,Fitchburg,Massachusetts,1420,978
Five Towns College,305 North Service Road,Dix Hills,New York,11746,631
Flagler College,74 King Street,Saint Augustine,Florida,32084,904
Florida Atlantic University,777 Glades Rd,Boca Raton,Florida,33431,561
Florida Christian College,1011 Bill Beck Blvd,Kissimmee,Florida,34744,407
Florida College,119 N Glen Arven Ave,Temple Terrace,Florida,33617,813
