EducationalInstitution,Settlement,City,State,areaCode,postalCode
Texas Wesleyan University,1201 Wesleyan St,Fort Worth,Texas,76105,817
Texas Woman's University,304 Administration Dr,Denton,Texas,76201,940
The Citadel,171 Moultrie Street,Charleston,South Carolina,29409,843
The Sage Colleges,45 Ferry St,Troy,New York,12180,518
Thiel College,75 College Ave,Greenville,Pennsylvania,16125,724
Thomas Aquinas College,10000 N Ojai Rd,Santa Paula,California,93060,805
Thomas College,180 W River Rd,Waterville,Maine,4901,207
Thomas Edison State College,101 W State St,Trenton,New Jersey,8608,609
Thomas Jefferson University,1020 Walnut Street,Philadelphia,Pennsylvania,19107,215
Thomas More College of Liberal Arts,6 Manchester St,Merrimack,New Hampshire,3054,603
Thomas More College,333 Thomas More Parkway,Crestview Hills,Kentucky,41017,859
Thomas University,1501 Millpond Rd,Thomasville,Georgia,31792,229
Tiffin University,155 Miami Street,Tiffin,Ohio,44883,419
Toccoa Falls College,107 North Chapel Drive,Toccoa Falls,Georgia,30598,706
Tougaloo College,500 W County Line Rd,Tougaloo,Mississippi,39174,601
Touro College,27-33 W 23rd St,New York,New York,10010,212
Towson University,8000 York Rd,Towson,Maryland,21252,410
Transylvania University,300 N Broadway,Lexington,Kentucky,40508,859
Trevecca Nazarene University,333 Murfreesboro Rd,Nashville,Tennessee,37210,615
Trident University International,5665 Plaza Drive,Cypress,California,90630,
Trine University,1 University Ave,Angola,Indiana,46703,260
Trinity Christian College,6601 W College Dr,Palos Heights,Illinois,60463,708
Trinity College,300 Summit St,Hartford,Connecticut,6106,860
Trinity College,934 Missouri Street,Fairfield,California,94533,707
Trinity International University,2065 Half Day Rd,Deerfield,Illinois,60015,847
Trinity Lutheran College,4221 - 228th Ave SE,Issaquah,Washington,98029,425
Trinity University,One Trinity Place,San Antonio,Texas,78212,210
Troy University,University Avenue,Troy,Alabama,36082,334
Truman State University,100 E Normal,Kirksville,Missouri,63501,660
Tufts University,"Ballou Hall, 2nd Floor",Medford,Massachusetts,2155,617
Tulane University,6823 Saint Charles Ave,New Orleans,Louisiana,70118,504
Tusculum College,60 Shiloh Road,Greeneville,Tennessee,37743,423
Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,Alabama,36088,334
Union College,310 College St,Barbourville,Kentucky,40906,606
Union College,3800 S 48th,Lincoln,Nebraska,68506,402
Union College,807 Union Street,Schenectady,New York,12308,518
Union University,1050 Union University Dr,Jackson,Tennessee,38305,731
United States Air Force Academy,"2304 Cadet Drive, Suite 3300",USAF Academy,Colorado,80840,
United States Coast Guard Academy,15 Mohegan Avenue,New London,Connecticut,6320,860
United States Merchant Marine Academy,Steamboat Rd,Kings Point,New York,11024,516
United States Military Academy,Institutional Research/Analysis Branch,West  Point,New York,10996,845
United States Naval Academy,121 Blake Road,Annapolis,Maryland,21402,410
United States Sports Academy,One Academy Dr,Daphne,Alabama,36526,251
Unity College,90 Quaker Hill Road,Unity,Maine,4988,207
Universidad Adventista de las Antillas,Carr 106 Km 2.2 Int,Mayaguez,Puerto Rico,680,787
University of Advancing Technology,2625 W Baseline Rd,Tempe,Arizona,85283,602
University of Akron,302 Buchtel Common,Akron,Ohio,44325,330
University of Arizona,1401 E University,Tucson,Arizona,85721,520
University of Arkansas for Medical Sciences,4301 W Markham,Little Rock,Arkansas,72205,501
University of Baltimore,1420 N. Charles Street,Baltimore,Maryland,21201,410
University of Bridgeport,126 Park Avenue,Bridgeport,Connecticut,6604,203
